Ranking,Artist,Studio Albums (EAS),Other LPs (EAS),Physical Singles (units sold),Digital Singles (units sold),Streams (EAS),Total EAS
1,The Beatles,"182,771,000","269,343,000","127,280,000","39,430,000","30,072,000
(07/11/26)","526,324,000"
2,Michael Jackson,"188,119,000","101,997,000","79,350,000","79,930,000","35,958,000
(07/11/26)","361,870,000"
3,Elvis Presley,"53,150,000","212,309,000","135,210,000","37,470,000","15,634,000
(07/11/26)","327,275,000"
4,Queen,"90,230,000","139,348,000","49,960,000","59,650,000","38,986,000
(07/11/26)","292,503,000"
5,Taylor Swift,"71,580,000","17,931,000","580,000","175,560,000","155,994,000
(07/11/26)","271,417,000"
6,Madonna,"149,611,000","64,420,000","75,210,000","42,100,000","15,682,000
(07/11/26)","258,592,000"
7,The Rolling Stones,"116,898,000","92,495,000","72,770,000","46,200,000","14,385,000
(07/11/26)","252,540,000"
8,Pink Floyd,"177,083,000","52,025,000","8,800,000","23,360,000","16,823,000
(07/10/26)","252,075,000"
9,Frank Sinatra,"50,007,000","140,401,000","95,250,000","26,210,000","14,565,000
(07/11/26)","236,646,000"
10,Eminem,"99,617,000","26,757,000","14,320,000","204,920,000","76,816,000
(07/11/26)","234,781,000"
11,AC/DC,"139,698,000","49,349,000","7,200,000","33,450,000","21,525,000
(07/11/26)","217,750,000"
12,Elton John,"88,630,000","82,400,000","65,340,000","26,250,000","22,921,000
(07/11/26)","217,491,000"
13,Led Zeppelin,"140,220,000","54,260,000","6,350,000","32,030,000","11,567,000
(07/11/26)","213,100,000"
14,U2,"133,116,000","53,051,000","22,550,000","40,500,000","11,835,000
(07/11/26)","210,842,000"
15,Céline Dion,"136,200,000","40,424,000","39,290,000","27,300,000","11,688,000
(07/11/26)","204,192,000"
16,Mariah Carey,"122,144,000","34,325,000","40,640,000","81,490,000","19,517,000
(07/11/26)","200,404,000"
17,Drake,"16,134,000","299,000","40,000","172,070,000","163,176,000
(07/11/26)","199,451,000"
18,Rod Stewart,"100,150,000","66,819,000","55,220,000","17,420,000","8,224,000
(07/10/26)","194,381,000"
19,Metallica,"127,582,000","20,164,000","15,480,000","40,770,000","25,734,000
(07/11/26)","184,240,000"
20,Eagles,"66,295,000","96,732,000","16,630,000","20,440,000","10,039,000
(07/10/26)","181,120,000"
21,Eric Clapton,"73,510,000","85,088,000","29,940,000","31,980,000","7,834,000
(07/10/26)","178,085,000"
22,ABBA,"47,400,000","91,491,000","54,400,000","17,870,000","15,970,000
(07/11/26)","173,861,000"
23,Bruce Springsteen,"108,804,000","42,176,000","21,010,000","25,420,000","10,279,000
(07/11/26)","171,374,000"
24,Bee Gees,"75,710,000","56,477,000","72,790,000","17,230,000","11,364,000
(07/11/26)","167,974,000"
25,Bon Jovi,"96,146,000","39,176,000","27,980,000","39,450,000","15,848,000
(07/11/26)","165,482,000"
26,Fleetwood Mac,"87,335,000","46,392,000","26,060,000","32,030,000","18,443,000
(07/10/26)","164,791,000"
27,Whitney Houston,"114,069,000","17,175,000","49,520,000","34,250,000","12,711,000
(07/11/26)","163,950,000"
28,BTS,"40,262,000","17,015,000","7,290,000","38,880,000","94,174,000
(07/11/26)","160,555,000"
29,Neil Diamond,"70,203,000","71,944,000","37,210,000","18,250,000","3,162,000
(07/11/26)","159,213,000"
30,Phil Collins,"94,402,000","39,905,000","29,910,000","22,780,000","10,986,000
(07/10/26)","157,682,000"
31,Billy Joel,"91,400,000","40,235,000","36,900,000","21,000,000","10,626,000
(07/10/26)","156,481,000"
32,Johnny Cash,"25,600,000","108,000,000","27,600,000","29,500,000","9,616,000
(07/10/26)","155,921,000"
33,Barbra Streisand,"91,370,000","49,714,000","35,250,000","3,680,000","2,070,000
(07/11/26)","154,282,000"
34,Bob Marley,"43,075,000","81,593,000","9,980,000","33,690,000","18,909,000
(07/10/26)","151,624,000"
35,The Beach Boys,"34,198,000","94,107,000","33,040,000","23,930,000","7,405,000
(07/11/26)","149,431,000"
36,Santana,"90,157,000","46,265,000","15,380,000","16,560,000","5,812,000
(07/10/26)","149,255,000"
37,Bob Dylan,"83,350,000","47,870,000","17,680,000","30,430,000","6,538,000
(07/11/26)","147,625,000"
38,Garth Brooks,"81,605,000","62,341,000","950,000","90,000","318,000
(07/10/26)","144,617,000"
39,Coldplay,"61,635,000","6,090,000","2,060,000","95,110,000","60,791,000
(07/11/26)","143,409,000"
40,Rihanna,"34,146,000","1,265,000","3,600,000","257,560,000","72,502,000
(07/11/26)","142,669,000"
41,Aerosmith,"71,710,000","48,158,000","15,500,000","25,550,000","10,320,000
(07/10/26)","138,671,000"
42,Prince,"88,135,000","27,141,000","42,910,000","29,590,000","5,718,000
(07/11/26)","138,379,000"
43,Guns N' Roses,"88,334,000","20,134,000","11,900,000","37,210,000","18,596,000
(07/11/26)","136,216,000"
44,Bad Bunny,"914,000","60,000","10,000","4,560,000","134,551,000
(07/11/26)","136,156,000"
45,Justin Bieber,"20,851,000","8,104,000","730,000","113,570,000","91,473,000
(07/11/26)","136,124,000"
46,David Bowie,"71,500,000","36,023,000","44,200,000","19,830,000","12,176,000
(07/11/26)","135,935,000"
47,Kanye West,"28,845,000","741,000","1,280,000","165,830,000","84,937,000
(07/11/26)","135,325,000"
48,Simon & Garfunkel,"37,820,000","75,732,000","23,830,000","14,350,000","5,842,000
(07/10/26)","128,746,000"
49,Britney Spears,"69,905,000","11,460,000","18,600,000","83,030,000","29,304,000
(07/11/26)","128,703,000"
50,Stevie Wonder,"65,605,000","28,070,000","65,320,000","34,490,000","9,899,000
(07/10/26)","128,424,000"
51,The Weeknd,"7,286,000","3,560,500","90,000","48,710,000","110,215,000
(07/11/26)","127,509,000"
52,Bruno Mars,"19,380,000","220,000","250,000","149,580,000","84,137,000
(07/11/26)","126,249,000"
53,Adele,"64,544,000","4,133,000","570,000","100,500,000","39,244,000
(07/11/26)","123,165,000"
54,Linkin Park,"53,259,000","14,500,000","3,210,000","73,710,000","42,610,000
(07/11/26)","122,388,000"
55,Ed Sheeran,"26,151,000","1,535,000","390,000","88,680,000","80,935,000
(07/11/26)","121,458,000"
56,The Doors,"51,980,000","55,480,000","13,860,000","11,100,000","6,579,000
(07/10/26)","120,053,000"
57,Dire Straits,"73,714,000","31,635,000","8,380,000","10,910,000","9,505,000
(07/10/26)","119,004,000"
58,Kenny Rogers,"49,600,000","54,500,000","27,500,000","9,000,000","2,979,000
(07/10/26)","116,679,000"
59,Paul McCartney,"64,358,000","19,974,000","72,990,000","18,140,000","7,437,000
(07/11/26)","116,496,000"
60,Red Hot Chili Peppers,"64,854,000","16,881,000","4,800,000","44,430,000","26,612,000
(07/11/26)","116,451,000"
61,Beyonce,"38,316,000","5,946,000","3,970,000","164,000,000","47,754,000
(07/11/26)","116,214,000"
62,Genesis,"78,400,000","28,082,000","13,910,000","10,010,000","3,105,000
(07/11/26)","115,670,000"
63,George Michael & Wham!,"60,200,000","26,150,000","49,880,000","16,770,000","11,163,000
(07/11/26)","114,991,000"
64,Julio Iglesias,"77,500,000","22,200,000","21,900,000","5,000,000","2,720,000
(07/10/26)","109,740,000"
65,Nirvana,"47,479,000","37,650,000","4,190,000","23,250,000","19,823,000
(07/11/26)","109,697,000"
66,The Who,"39,328,000","57,190,000","21,510,000","18,930,000","3,759,000
(07/11/26)","109,572,000"
67,Bing Crosby,"10,328,000","40,152,000","183,150,000","7,310,000","3,691,000
(10/15/25)","109,006,000"
68,Jimi Hendrix,"29,330,000","69,219,000","6,210,000","15,270,000","4,525,000
(07/10/26)","107,232,000"
69,Lady Gaga,"32,250,000","4,790,000","1,570,000","128,860,000","49,716,000
(07/11/26)","106,559,000"
70,Jay-Z,"45,417,000","8,557,000","12,070,000","170,790,000","26,936,000
(07/11/26)","105,894,000"
71,The Police,"46,370,000","40,183,000","23,810,000","11,300,000","9,893,000
(07/10/26)","105,296,000"
72,Backstreet Boys,"59,684,000","25,685,000","18,010,000","22,550,000","10,939,000
(07/10/26)","105,094,000"
73,Van Halen,"79,620,000","14,065,000","10,450,000","16,810,000","5,620,000
(07/11/26)","104,966,000"
74,Carpenters,"35,796,000","50,449,000","40,500,000","16,450,000","3,600,000
(07/11/26)","104,465,000"
75,Willie Nelson,"58,750,000","34,100,000","12,250,000","14,000,000","5,093,000
(07/09/26)","103,718,000"
76,Ariana Grande,"9,431,000","1,409,000","170,000","58,100,000","84,144,000
(07/11/26)","103,541,000"
77,Maroon 5,"26,134,000","2,138,000","1,600,000","149,190,000","52,173,000
(07/11/26)","103,343,000"
78,Green Day,"60,964,000","13,567,000","3,050,000","44,600,000","20,797,000
(07/10/26)","102,932,000"
79,Depeche Mode,"51,142,000","30,944,000","25,560,000","17,600,000","7,433,000
(07/10/26)","102,283,000"
80,Creedence Clearwater Revival,"33,135,000","45,489,000","22,570,000","14,600,000","13,852,000
(07/10/26)","101,760,000"
81,Roberto Carlos,"65,265,000","27,805,000","9,180,000","1,540,000","4,127,000
(07/10/26)","100,188,000"
82,Shakira,"36,737,000","7,392,000","9,230,000","62,960,000","41,400,000
(07/11/26)","97,676,000"
83,Deep Purple,"45,485,000","40,666,000","12,180,000","9,200,000","2,995,000
(07/10/26)","94,274,000"
84,R.E.M.,"66,685,000","16,347,000","8,280,000","11,920,000","6,626,000
(07/10/26)","93,932,000"
85,Neil Young,"65,210,000","21,443,000","14,030,000","11,870,000","3,337,000
(07/11/26)","93,909,000"
